Z,A,EC_Halflife(s)
71,151,0.19271
71,152,0.18933
71,153,0.53313
71,154,1.18138
71,155,1.10034
71,156,1.08395
71,157,2.67009
71,158,2.78763
71,159,18.72865
71,160,13.43449
71,161,41.38156
71,162,68.27653
71,163,133.90840
71,164,174.32181
71,165,421.79205
71,166,41.98050
71,167,3709.68311
71,168,110125.70312
71,169,210.64539
71,170,473.82303
71,171,634.03186
71,172,2923.44482
71,173,3277.51611
71,174,6931471872.00000
71,176,488352.53125
72,149,0.06428
72,150,0.12739
72,151,0.11487
72,152,0.14529
72,153,0.14010
72,154,0.35722
72,155,1.19186
72,156,1.76486
72,157,1.46887
72,158,4.83561
72,159,2.43694
72,160,12.78110
72,161,8.83540
72,162,26.09115
72,163,40.55241
72,164,83.24638
72,165,102.98325
72,166,258.03290
72,167,28.17828
72,168,1114.37854
72,169,2930.74146
72,170,34080.97656
72,171,7677.50391
72,172,3841016576.00000
72,173,386105.37500
72,175,6931471872.00000
73,151,0.05755
73,152,0.05920
73,153,0.07329
73,154,0.08608
73,155,0.16642
73,156,0.40077
73,157,0.83518
73,158,0.79931
73,159,1.52946
73,160,0.96394
73,161,3.42649
73,162,3.23206
73,163,7.73236
73,164,2.88484
73,165,22.70212
73,166,5.00741
73,167,12.48530
73,168,13.48155
73,169,23.51017
73,170,25.74659
73,171,41.55656
73,172,63.33349
73,173,79.44759
73,174,152.60931
73,175,175628.84375
73,176,36974.07031
73,177,926021.18750
73,178,5756.89307
73,179,990855360.00000
73,180,5289758.50000
74,154,0.06352
74,155,0.06024
74,156,0.13028
74,157,0.67776
74,158,0.48741
74,159,0.40985
74,160,1.52763
74,161,0.73738
74,162,3.05135
74,163,2.65005
74,164,5.55418
74,165,2.14994
74,166,13.41386
74,167,15.26411
74,168,36.42353
74,169,40.15710
74,170,69.06476
74,171,95.84075
74,172,170.12108
74,173,245.92448
74,174,430.85147
74,175,1336.96704
74,176,2918.40845
74,177,9741.84180
74,178,6931471872.00000
74,179,607.95740
74,181,211770880.00000
75,156,0.03690
75,157,0.04862
75,158,0.27876
75,159,0.21305
75,160,0.20917
75,161,0.30521
75,162,0.32386
75,163,0.58212
75,164,0.51547
75,165,0.97985
75,166,0.62226
75,167,2.18159
75,168,2.23448
75,169,8.68485
75,170,13.19401
75,171,19.35420
75,172,28.76925
75,173,37.23860
75,174,61.83272
75,175,88.60569
75,176,148.48869
75,177,276.46835
75,178,584.85620
75,179,1758.81348
75,180,129.62567
75,181,1115373.62500
75,182,2852364.50000
75,183,6931471872.00000
75,184,6931471872.00000
75,186,6931471872.00000
76,159,0.14511
76,160,0.13243
76,161,0.15681
76,162,0.27057
76,163,0.32262
76,164,1.12079
76,165,0.70524
76,166,1.48131
76,167,0.66102
76,168,4.01433
76,169,4.65479
76,170,12.53893
76,171,6.08578
76,172,11.02240
76,173,15.60972
76,174,24.37127
76,175,30.28108
76,176,45.02607
76,177,72.36427
76,178,140.12166
76,179,351.87521
76,180,592.71906
76,181,46.46293
76,182,80060.88281
76,183,1054509.00000
76,185,6651992.00000
77,162,0.10934
77,163,0.40958
77,164,0.14410
77,165,0.22847
77,166,0.29151
77,167,0.41194
77,168,0.26105
77,169,0.80639
77,170,0.85097
77,171,1.29774
77,172,1.42358
77,173,2.24182
77,174,2.36077
77,175,3.51328
77,176,7.70891
77,177,17.38346
77,178,25.54754
77,179,14.39684
77,180,66.00325
77,181,28.21845
77,182,23.68006
77,183,44.87779
77,184,66.52434
77,185,91.66216
77,186,121.12074
77,187,216.92923
77,188,452.86508
77,189,3828.85693
77,190,10859.65625
77,192,6931471872.00000
78,165,0.27646
78,166,0.14147
78,167,0.21672
78,168,0.58144
78,169,0.32666
78,170,0.63885
78,171,1.17103
78,172,5.89539
78,173,1.73201
78,174,3.49086
78,175,6.88595
78,176,6.78394
78,177,5.51362
78,178,41.81365
78,179,15.28961
78,180,25.91824
78,181,40.48209
78,182,91.76358
78,183,13.73319
78,184,444.17545
78,185,634.31451
78,186,2865.43530
78,187,1237.90186
78,188,100156.50000
78,189,19140.45508
78,191,600.17767
78,193,6931471872.00000
79,167,0.25527
79,168,0.14297
79,169,0.24367
79,170,0.19366
79,171,0.19075
79,172,0.47322
79,173,0.60707
79,174,1.36064
79,175,1.82888
79,176,1.05406
79,177,1.98584
79,178,1.49576
79,179,2.31860
79,180,6.19403
79,181,9.36179
79,182,13.93159
