n,z,halflife(Seconds),d-halflife
43,39,8.3,0.1999999999999993
43,40,42,2
43,41,9.8,0.9000000000000004
43,42,3.2,0.20000000000000018
43,43,0.055,0.006999999999999999
44,25,0.016,0.004
44,26,0.063,0.005000000000000001
44,27,0.08,0.0030000000000000027
44,28,1.587,0.09299999999999997
44,29,4.2,0.2999999999999998
44,30,95.6,1.2000000000000028
44,31,126,2
44,32,STABLE,
44,33,139788,179.99999999998545
44,34,STABLE,
44,35,STABLE,
44,36,STABLE,
44,37,16459.2,14.399999999997817
44,38,2189376,1728
44,39,424.8,4.800000000000011
44,40,1548,30
44,41,20.5,1.1999999999999993
44,42,19.1,0.3000000000000007
44,43,2.2,0.20000000000000018
44,44,1.2,0.25
45,26,0.035,0.007000000000000001
45,27,0.0573,0.0020000000000000018
45,28,0.842,0.02999999999999997
45,29,1.594,0.010000000000000009
45,30,10.2,0.1999999999999993
45,31,32.6,0.6000000000000014
45,32,40680,36
45,33,5442,12
45,34,10287777600000,883612800000
45,35,1060.8,1.2000000000000455
45,36,7226690400000,347133600000
45,37,75.45,0.012000000000000455
45,38,116675.99999999999,108
45,39,2370,48
45,40,471.6,2.3999999999999773
45,41,88,1
45,42,14.02,0.2599999999999998
45,43,6.4,0.7999999999999998
45,44,1.5,0.19999999999999996
45,45,0.012,0.006500000000000001
46,26,0.019,0.004
46,27,0.0405,0.0012999999999999956
46,28,0.5077,0.004599999999999993
46,29,1.224,0.0029999999999998916
46,30,5.7,0.2999999999999998
46,31,13.2,0.1999999999999993
46,32,5280,60
46,33,540.6,9.000000000000057
46,34,STABLE,
46,35,STABLE,
46,36,STABLE,
46,37,7447680,8639.999999999534
46,38,STABLE,
46,39,9648,179.9999999999991
46,40,59400,360.0000000000073
46,41,222,6.000000000000014
46,42,480,11.999999999999972
46,43,12.8,0.9000000000000004
46,44,11.7,0.9000000000000004
46,45,1.47,0.21999999999999997
46,46,0.7,0.30000000000000004
47,27,0.0314,0.0014999999999999996
47,28,0.33180000000000004,0.0032000000000000084
47,29,0.638,0.009000000000000008
47,30,2.08,0.04999999999999982
47,31,5.09,0.04999999999999982
47,32,18.98,0.030000000000001137
47,33,15.2,0.1999999999999993
47,34,1107,7.2000000000000455
47,35,127015.19999999998,25.199999999989814
47,36,STABLE,
47,37,2835648,6048
47,38,5602953.600000001,604.8000000002794
47,39,53064,72
47,40,6048,36
47,41,873,6.599999999999966
47,42,126.6,6
47,43,8.7,0.1999999999999993
47,44,8,0.40000000000000036
47,45,5.7,0.09999999999999964
47,46,1,0.09000000000000002
47,47,0.026000000000000002,0.0175
48,27,0.0265,0.0011999999999999997
48,28,0.2347,0.00269999999999998
48,29,0.4681,0.0020000000000000018
48,30,1.47,0.1499999999999999
48,31,2.847,0.0030000000000001137
48,32,29.5,0.3999999999999986
48,33,33.3,0.7999999999999972
48,34,STABLE,
48,35,8546.4,14.400000000000546
48,36,STABLE,
48,37,STABLE,
48,38,STABLE,
48,39,287280,1080
48,40,7205760.000000001,25919.999999999534
48,41,7307.999999999999,252
48,42,20016,323.9999999999982
48,43,188.4,1.2000000000000028
48,44,219,2.999999999999986
48,45,12.2,0.6999999999999993
48,46,9.6,0.1999999999999993
48,47,1.75,0.1200000000000001
48,48,1.03,0.22499999999999998
49,27,0.0217,0.00345
49,28,0.1584,0.004150000000000015
49,29,0.335,0.01100000000000001
49,30,0.746,0.04200000000000004
49,31,1.9,0.10000000000000009
49,32,7.6,0.5999999999999996
49,33,19.1,0.5
49,34,1335,2.3999999999998636
49,35,1905.6000000000001,4.7999999999999545
49,36,338897066.40000004,441806.39999997616
49,37,1610668.8,1555.2000000000698
49,38,STABLE,
49,39,9212486.4,1814.4000000003725
49,40,282276,432
49,41,52560,180.00000000000364
49,42,929.4,0.5999999999999659
49,43,255,9.000000000000014
49,44,59.7,0.6000000000000014
49,45,66,6
49,46,5,3
49,47,4.4,0.05999999999999961
49,48,1.1,0.07000000000000006
49,49,0.032,0.0215
50,27,0.013000000000000001,0.0037999999999999996
50,28,0.1222,0.005099999999999993
50,29,0.241,0.0031999999999999945
50,30,0.5619,0.0030000000000000027
50,31,1.217,0.004999999999999893
50,32,4.56,0.2599999999999998
50,33,13.4,0.40000000000000036
50,34,195.6,6
50,35,174,3.6000000000000085
50,36,STABLE,
50,37,1568412720000000000,9467280000000000
50,38,STABLE,
50,39,STABLE,
50,40,STABLE,
50,41,21459168000,4102488000
50,42,STABLE,
50,43,9900,180
50,44,3108,36.00000000000023
50,45,301.2,5.999999999999972
50,46,122,2
50,47,25.5,0.3000000000000007
50,48,9.2,0.3000000000000007
50,49,3,0.7999999999999998
50,50,1.16,0.19999999999999996
51,28,0.043000000000000003,0.008049999999999998
51,29,0.17,0.08000000000000002
51,30,0.3035,0.002899999999999986
51,31,0.599,0.0020000000000000018
51,32,1.85,0.06000000000000005
51,33,4.02,0.030000000000000027
51,34,32.9,0.29999999999999716
